Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,399-C0402C104K8PAC7867CT-ND,C0402C104K8PAC7867,CAP CER 0.1UF 10V X5R 0402,,50,0,$0.02800,$1.40
2,399-C0805C106K8PAC7800CT-ND,C0805C106K8PAC7800,CAP CER 10UF 10V X5R 0805,,5,0,$0.20000,$1.00
3,1727-5317-1-ND,"PMEG3050EP,115",DIODE SCHOTTKY 30V 5A SOD128,,48,0,$0.77100,$37.01
4,507-1979-1-ND,0679L9150-01,FUSE BRD MNT 15A 125VAC/VDC 2SMD,,4,0,$0.69000,$2.76
5,WM1865-ND,0436500201,CONN HEADER R/A 2POS 3MM,,12,0,$1.60900,$19.31
6,WM1364-ND,0039301041,CONN HEADER R/A 4POS 4.2MM,,2,0,$3.00000,$6.00
7,SISH615ADN-T1-GE3CT-ND,SISH615ADN-T1-GE3,MOSFET P-CH 20V 22.1A/35A PPAK,,100,0,$0.55850,$55.85
8,SSM6N7002KFULFCT-ND,"SSM6N7002KFU,LF",MOSFET 2N-CH 60V 0.3A,,40,0,$0.28400,$11.36
9,P10.0KHCT-ND,ERJ-3EKF1002V,RES SMD 10K OHM 1% 1/10W 0603,,500,0,$0.01574,$7.87
10,MCS3264R010FERCT-ND,MCS3264R010FER,RES 0.01 OHM 1% 2W 3264,,25,0,$0.67960,$16.99
11,P3.90KHCT-ND,ERJ-3EKF3901V,RES SMD 3.9K OHM 1% 1/10W 0603,,100,0,$0.02580,$2.58
12,P100KHCT-ND,ERJ-3EKF1003V,RES SMD 100K OHM 1% 1/10W 0603,,50,0,$0.03500,$1.75
13,296-14597-1-ND,LM324DR,IC OPAMP GP 4 CIRCUIT 14SOIC,,40,0,$0.40800,$16.32
14,AP7381-50Y-13DICT-ND,AP7381-50Y-13,IC REG LINEAR 5V 150MA SOT89,,15,0,$0.43800,$6.57
15,AP63205WU-7DICT-ND,AP63205WU-7,IC REG BUCK 5V 2A TSOT26,,5,0,$1.28000,$6.40
16,900-0455870004-ND,0455870004,CONN RCPT HSG 8POS 4.20MM,,10,0,$0.87600,$8.76
17,WM1354-ND,0039301080,CONN HEADER R/A 8POS 4.2MM,,10,0,$1.59800,$15.98
18,WM1845-ND,0436450200,CONN RCPT HSG 2POS 3.00MM,,15,0,$0.45000,$6.75
19,WM1837CT-ND,0430300001,CONN SOCKET 20-24AWG CRIMP TIN,,100,0,$0.08960,$8.96
20,WM2501CT-ND,0039000038,CONN SOCKET 18-24AWG CRIMP TIN,,100,0,$0.05910,$5.91
21,WM3701-ND,0039012040,CONN RCPT HSG 4POS 4.20MM,,3,0,$0.53000,$1.59
,,,,,,,Subtotal,$241.12
