manufacturer part number,description,quantity
C0402C104K8PAC7867,CAP CER 0.1UF 10V X5R 0402,50.0
C0805C106K8PAC7800,CAP CER 10UF 10V X5R 0805,5.0
"PMEG3050EP,115",DIODE SCHOTTKY 30V 5A SOD128,48.0
0679L9150-01,FUSE BRD MNT 15A 125VAC/VDC 2SMD,4.0
0436500201,CONN HEADER R/A 2POS 3MM,12.0
0039301041,CONN HEADER R/A 4POS 4.2MM,2.0
SISH615ADN-T1-GE3,MOSFET P-CH 20V 22.1A/35A PPAK,100.0
"SSM6N7002KFU,LF",MOSFET 2N-CH 60V 0.3A,40.0
ERJ-3EKF1002V,RES SMD 10K OHM 1% 1/10W 0603,500.0
MCS3264R010FER,RES 0.01 OHM 1% 2W 3264,25.0
ERJ-3EKF3901V,RES SMD 3.9K OHM 1% 1/10W 0603,100.0
ERJ-3EKF1003V,RES SMD 100K OHM 1% 1/10W 0603,50.0
LM324DR,IC OPAMP GP 4 CIRCUIT 14SOIC,40.0
AP7381-50Y-13,IC REG LINEAR 5V 150MA SOT89,15.0
AP63205WU-7,IC REG BUCK 5V 2A TSOT26,5.0
0455870004,CONN RCPT HSG 8POS 4.20MM,10.0
0039301080,CONN HEADER R/A 8POS 4.2MM,10.0
0436450200,CONN RCPT HSG 2POS 3.00MM,15.0
0430300001,CONN SOCKET 20-24AWG CRIMP TIN,100.0
0039000038,CONN SOCKET 18-24AWG CRIMP TIN,100.0
0039012040,CONN RCPT HSG 4POS 4.20MM,3.0
