Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C1, C4, C5, C8, C9, C10","CMP-2006-02792-2","New From Design","Up to date","6","Murata","GRM188R60J106ME47D","Volume Production","Newark","24R6334","0.065","0.39"
"","C0402C104K8PACTU","CAP CER 0.1UF 10V X5R 0402","C2, C3, C15, C20","CMP-2008-02046-2","New From Design","Up to date","4","KEMET","C0402C104K8PACTU","Volume Production","Newark","78H4791","0.007","0.028"
"","08053C225KAT2A","General Purpose Ceramic Capacitor, 0805, 2.2uF, 10%, X7R, 15%, 25V","C6, C7","CMP-2007-04514-2","Released","Up to date","2","Kyocera AVX","08053C225KAT2A","Volume Production","Digikey","478-5719-1-ND","0.31","0.62"
"","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C12, C17","CMP-2007-03243-2","New From Design","Up to date","2","KEMET","C0805C106K8PACTU","Volume Production","Digikey","399-C0805C106K8PAC7800CT-ND","0.14","0.28"
"","GRM21BR61E226ME44L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V","C13, C14, C18, C19","CMP-2007-03222-3","New From Design","Up to date","4","Murata","GRM21BR61E226ME44L","Volume Production","Farnell","1907510","0.20334","1.02"
"","PMEG3050EP,115","DIODE SCHOTTKY 30V 5A SOD128","D1_M1, D1_M2, D1_M3, D1_M4, D1_M5, D1_M6, D1_M7, D1_M8, D1_M9, D1_M10, D1_M11, D1_M12, D2_M1, D2_M2, D2_M3, D2_M4, D2_M5, D2_M6, D2_M7, D2_M8, D2_M9, D2_M10, D2_M11, D2_M12","CMP-14398-000051-1","New From Design","Up to date","24","Nexperia","PMEG3050EP,115","Volume Production","Future Electronics","7015954","0.415","9.96"
"","1N4148W-TP","DIODE GEN PURP 100V 150MA SOD123","D5, D6, D7, D8","CMP-2000-04993-2","New From Design","Up to date","4","MCC","1N4148W-TP","Volume Production","Digikey","1N4148WTPMSCT-ND","0.12","0.48"
"","150066RG54050","Led, Red/Grn, 180Mcd/230Mcd, 624Nm/525Nm Rohs Compliant: Yes |Wurth Elektronik 150066RG54050","D9, D10, D11_M1, D11_M2, D11_M3, D11_M4, D11_M5, D11_M6, D11_M7, D11_M8, D11_M9, D11_M10, D11_M11, D11_M12","CMP-004-00034-2","Draft","Up to date","14","Wurth Electronics","150066RG54050","Unknown","Digikey","732-150066RG54050CT-ND","0.508","7.11"
"","45586-0005","CONN HEADER R/A 8POS 4.2MM","J1, J4, J11, J13","CMP-04776-000690-1","New From Design","Up to date","4","Molex","45586-0005","Volume Production","Avnet","0455860005","3.91","15.64"
"","HLE-103-02-L-DV-BE-TR","","J2, J3","CMP-020-000000-4","Draft","Up to date","2","","","","","","",""
"","455580003","CONN HEADER R/A 6POS 4.2MM","J5, J10, J12","CMP-04776-000024-1","New From Design","Up to date","3","Molex","45558-0003","Volume Production","Newark","92M3096","1.06","3.18"
"","M20-7812045","CONN RCPT 40POS 0.1 GOLD SMD","J6, J7, J8, J9","CMP-15831-000026-1","New From Design","Up to date","4","Harwin","M20-7812045","Unknown","Newark","29AH6729","4.86","19.44"
"","43650-0201","CONN HEADER R/A 2POS 3MM","J14","CMP-04776-000557-1","New From Design","Up to date","1","Molex","43650-0201","Volume Production","Avnet","0436500201","1.3","1.3"
"","39-30-1041","CONN HEADER R/A 4POS 4.2MM","J15","CMP-04776-000047-1","New From Design","Up to date","1","Molex","39-30-1041","Volume Production","Arrow Electronics","39-30-1041","0.7192","0.7192"
"","NR5040T4R7N","SMD Power Inductors 4.7uH ±30% 3.1A 37.7mO","L1, L2","CMP-14484-001014-1","New From Design","Up to date","2","Taiyo Yuden","NR5040T4R7N","Volume Production","Mouser","963-NR5040T4R7N","0.3","0.6"
"","SMI-1027-T-5V-R","Audio Ind Magnt 5V 9.6X9.6MM SMD","LS1","CMP-00027-00002-1","Draft","Up to date","1","Projects Unlimited","SMI-1027-T-5V-R","Unknown","Digikey","668-SMI-1027-T-5V-RCT-ND","1.86","1.86"
"","SISH615ADN-T1-GE3","Trans MOSFET P-CH 20V 22.1A 8-Pin PowerPAK 1212 EP T/R","Q1_M1, Q1_M2, Q1_M3, Q1_M4, Q1_M5, Q1_M6, Q1_M7, Q1_M8, Q1_M9, Q1_M10, Q1_M11, Q1_M12, Q3_M1, Q3_M2, Q3_M3, Q3_M4, Q3_M5, Q3_M6, Q3_M7, Q3_M8, Q3_M9, Q3_M10, Q3_M11, Q3_M12","CMP-013-00036-2","Draft","Out of date","24","Vishay","SISH615ADN-T1-GE3","Unknown","Newark","99AC9585","0.211","5.06"
"","SSM6N7002KFU,LF","MOSFET 2N-CH 60V 0.3A","Q2_M1, Q2_M2, Q2_M3, Q2_M4, Q2_M5, Q2_M6, Q2_M7, Q2_M8, Q2_M9, Q2_M10, Q2_M11, Q2_M12, Q11","CMP-35916-000009-1","New From Design","Up to date","13","Toshiba","SSM6N7002KFU,LF","Volume Production","Arrow Electronics","SSM6N7002KFU,LF","0.1454","1.89"
"","RC0603FR-071ML","Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R1_M1, R1_M2, R1_M3, R1_M4, R1_M5, R1_M6, R1_M7, R1_M8, R1_M9, R1_M10, R1_M11, R1_M12, R4_M1, R4_M2, R4_M3, R4_M4, R4_M5, R4_M6, R4_M7, R4_M8, R4_M9, R4_M10, R4_M11, R4_M12","CMP-1659-00056-1","Released","Up to date","24","Yageo","RC0603FR-071ML","Volume Production","Newark","98K7342","0.01","0.25"
"","ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R2_M1, R2_M2, R2_M3, R2_M4, R2_M5, R2_M6, R2_M7, R2_M8, R2_M9, R2_M10, R2_M11, R2_M12, R3_M1, R3_M2, R3_M3, R3_M4, R3_M5, R3_M6, R3_M7, R3_M8, R3_M9, R3_M10, R3_M11, R3_M12, R5_M1, R5_M2, R5_M3, R5_M4, R5_M5, R5_M6, R5_M7, R5_M8, R5_M9, R5_M10, R5_M11, R5_M12, R7_M1, R7_M2, R7_M3, R7_M4, R7_M5, R7_M6, R7_M7, R7_M8, R7_M9, R7_M10, R7_M11, R7_M12, R8_M1, R8_M2, R8_M3, R8_M4, R8_M5, R8_M6, R8_M7, R8_M8, R8_M9, R8_M10, R8_M11, R8_M12, R9_M1, R9_M2, R9_M3, R9_M4, R9_M5, R9_M6, R9_M7, R9_M8, R9_M9, R9_M10, R9_M11, R9_M12, R11, R12, R13, R14, R15, R16, R17, R18, R27, R28, R29, R31, R32, R34, R47, R48, R49, R50, R51_M1, R51_M2, R51_M3, R51_M4, R51_M5, R51_M6, R51_M7, R51_M8, R51_M9, R51_M10, R51_M11, R51_M12, R53_M1, R53_M2, R53_M3, R53_M4, R53_M5, R53_M6, R53_M7, R53_M8, R53_M9, R53_M10, R53_M11, R53_M12, R55","CMP-1012-00623-3","Released","Up to date","115","Vishay Dale","CRCW060310K0FKEC","Volume Production","Newark","65AC3374","0.003","0.345"
"","MCS3264R010FER","RES SMD 10 MOHM 1% 2W 3264","R6_M1, R6_M2, R6_M3, R6_M4, R6_M5, R6_M6, R6_M7, R6_M8, R6_M9, R6_M10, R6_M11, R6_M12","CMP-33361-000012-1","New From Design","Up to date","12","Ohmite","MCS3264R010FER","Volume Production","Digikey","MCS3264R010FERCT-ND","0.501","6.01"
"","ERJ3EKF3901V","","R10_M1, R10_M2, R10_M3, R10_M4, R10_M5, R10_M6, R10_M7, R10_M8, R10_M9, R10_M10, R10_M11, R10_M12, R52_M1, R52_M2, R52_M3, R52_M4, R52_M5, R52_M6, R52_M7, R52_M8, R52_M9, R52_M10, R52_M11, R52_M12, R54_M1, R54_M2, R54_M3, R54_M4, R54_M5, R54_M6, R54_M7, R54_M8, R54_M9, R54_M10, R54_M11, R54_M12","CMP-2000-00475-1","Released","Up to date","36","Panasonic","ERJ-3EKF3901V","Volume Production","Newark","64R5344","0.003","0.108"
"","ERJ-3EKF1200V","Chip Resistor, 120 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R19","CMP-2000-00213-2","Released","Up to date","1","Panasonic","ERJ-3EKF1200V","Volume Production","Newark","64R5313","0.004","0.004"
"","ERJ-3EKF1001V","","R33, R38_M1, R38_M2, R38_M3, R38_M4, R38_M5, R38_M6, R38_M7, R38_M8, R38_M9, R38_M10, R38_M11, R38_M12","CMP-2000-00180-1","Released","Up to date","13","Panasonic","ERJ-3EKF1001V","Volume Production","Newark","85Y8498","0.009","0.225"
"","ERJ-3EKF1003V","","R36_M1, R36_M2, R36_M3, R36_M4, R36_M5, R36_M6, R36_M7, R36_M8, R36_M9, R36_M10, R36_M11, R36_M12, R37_M1, R37_M2, R37_M3, R37_M4, R37_M5, R37_M6, R37_M7, R37_M8, R37_M9, R37_M10, R37_M11, R37_M12","CMP-2000-00182-1","Released","Up to date","24","Panasonic","ERJ-3EKF1003V","Volume Production","Newark","64R5310","0.006","0.144"
"","ERJ-3EKF1500V","","R56, R58","CMP-2000-00256-1","Released","Up to date","2","Panasonic","ERJ-3EKF1500V","Volume Production","Newark","64R5318","0.003","0.006"
"","ERJ-3GEYJ820V","","R57, R59, R61_M1, R61_M2, R61_M3, R61_M4, R61_M5, R61_M6, R61_M7, R61_M8, R61_M9, R61_M10, R61_M11, R61_M12","CMP-1012-00048-2","Released","Up to date","14","Panasonic","ERJ-3GEYJ820V","Volume Production","Avnet","65T8691","0.005","0.07"
"","ERJ3EKF5100V","","R60_M1, R60_M2, R60_M3, R60_M4, R60_M5, R60_M6, R60_M7, R60_M8, R60_M9, R60_M10, R60_M11, R60_M12","CMP-2000-00539-1","Released","Up to date","12","Panasonic","ERJ-3EKF5100V","Volume Production","Newark","65T8474","0.004","0.048"
"","LM324D","Quadruple Operational Amplifier, 0.5 V/us, 1.2 MHz, 3 to 32 V, 0 to 70 degC, 14-Pin SOIC (D), Green (RoHS & no Sb/Br), Tube","U1_M1, U1_M2, U1_M3, U1_M4, U1_M5, U1_M6, U1_M7, U1_M8, U1_M9, U1_M10, U1_M11, U1_M12, U7","CMP-2000-06547-1","Released","Up to date","13","Texas Instruments","LM324D","End of Life","Arrow Electronics","LM324D","0.5256","6.83"
"","MCP2515-I/SO","IC CAN CONTROLLER W/SPI 18SOIC","U2, U5","CMP-0186-00133-3","New From Design","Up to date","2","Microchip","MCP2515-I/SO","Not Recommended for New Design","Future Electronics","2131654","2.26","4.52"
"","MCP2551-I/SN","High-Speed CAN Transceiver,
 1 Mb/s, 4.5 to 5.5 V, 8-Pin SOIC (SN), Industrial Temperature, RoHS, Tube","U3, U4","CMP-0186-00138-3","Released","Up to date","2","Microchip","MCP2551-I/SN","Not Recommended for New Design","Future Electronics","5584800","1.29","2.58"
"","AP7381-50Y-13","IC REG LINEAR 5V 150MA SOT89","U6","CMP-12756-000009-1","New From Design","Up to date","1","Diodes","AP7381-50Y-13","Unknown","Arrow Electronics","AP7381-50Y-13","0.3128","0.3128"
"","AP63205WU-7","IC REG BUCK 5V 2A TSOT26","U8, U10","CMP-12757-000001-1","New From Design","Up to date","2","Diodes","AP63205WU-7","Unknown","Mouser","621-AP63205WU-7","0.87","1.74"
"","TLV1805DBVR","40V, RAIL-TO-RAIL INPUT, PUSH-PU","U9","CMP-04896-000098-1","New From Design","Up to date","1","Texas Instruments","TLV1805DBVR","Volume Production","Arrow Electronics","TLV1805DBVR","0.9505","0.9505"
"","LM2902Q4T","LM2902 Series 30 V 1.3 MHz Low-Power Quad Operational Amplifier - QFN-16 (3x3)","U11, U12","CMP-014-00004-1","Draft","Up to date","2","STMicroelectronics","LM2902Q4T","Volume Production","Digikey","497-12417-1-ND","0.46","0.92"
"","ABLS2-8.000MHZ-D4Y-T","CRYSTAL 8.0000MHZ 18PF SMD","Y1, Y2","CMP-27762-001729-1","New From Design","Up to date","2","Abracon","ABLS2-8.000MHZ-D4Y-T","Volume Production","Newark","67P3817","0.32","0.64"
